date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:09:04	33143/33143	---M-Z	200	added ('OK')	text/html	date:Fri,%2003%20Jan%202020%2019:20:45%20GMT	http://integrothemes.com/arlo2/index.html	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/index.html	(from )
19:09:05	2675/2675	---M-Z	200	added ('OK')	text/html	date:Mon,%2027%20Jan%202020%2012:09:05%20GMT	http://integrothemes.com/robots.txt		(from )
19:09:08	172069/172069	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2019:20:51%20GMT	http://integrothemes.com/arlo2/css/plugins.css	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/css/plugins.css	(from http://integrothemes.com/arlo2/index.html)
19:09:09	123674/123674	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Jan%202020%2019:54:54%20GMT	http://integrothemes.com/arlo2/css/style6.css	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/css/style6.css	(from http://integrothemes.com/arlo2/index.html)
19:09:10	1979/1979	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2019:07:11%20GMT	http://integrothemes.com/arlo2/img/logo/mobile.png	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/logo/mobile.png	(from http://integrothemes.com/arlo2/index.html)
19:09:11	2946/2946	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2019:07:11%20GMT	http://integrothemes.com/arlo2/img/logo/logo.png	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/logo/logo.png	(from http://integrothemes.com/arlo2/index.html)
19:09:12	3360/3360	---M--	200	added ('OK')	image/png	date:Fri,%2003%20Jan%202020%2019:07:11%20GMT	http://integrothemes.com/arlo2/img/logo/light.png	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/logo/light.png	(from http://integrothemes.com/arlo2/index.html)
19:09:13	4105/4105	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2019:05:30%20GMT	http://integrothemes.com/arlo2/img/about/500x500.jpg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/about/500x500.jpg	(from http://integrothemes.com/arlo2/index.html)
19:09:14	3280/3280	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2019:05:41%20GMT	http://integrothemes.com/arlo2/img/about/550x650.jpg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/about/550x650.jpg	(from http://integrothemes.com/arlo2/index.html)
19:09:15	1689/1689	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:10:36%20GMT	http://integrothemes.com/arlo2/img/svg/gift.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/gift.svg	(from http://integrothemes.com/arlo2/index.html)
19:09:16	58144/58144	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2019:05:23%20GMT	http://integrothemes.com/arlo2/img/about/3.jpg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/about/3.jpg	(from http://integrothemes.com/arlo2/index.html)
19:09:16	1824/1824	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:09:59%20GMT	http://integrothemes.com/arlo2/img/svg/calendar.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/calendar.svg	(from http://integrothemes.com/arlo2/index.html)
19:09:17	1287/1287	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:10:52%20GMT	http://integrothemes.com/arlo2/img/svg/placeholder.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/placeholder.svg	(from http://integrothemes.com/arlo2/index.html)
19:09:18	2932/2932	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:10:28%20GMT	http://integrothemes.com/arlo2/img/svg/console.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/console.svg	(from http://integrothemes.com/arlo2/index.html)
19:09:18	1919/1919	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:09:35%20GMT	http://integrothemes.com/arlo2/img/svg/book.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/book.svg	(from http://integrothemes.com/arlo2/index.html)
19:09:19	77479/77479	---M--	200	added ('OK')	image/jpeg	date:Fri,%2003%20Jan%202020%2019:05:23%20GMT	http://integrothemes.com/arlo2/img/about/2.jpg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/about/2.jpg	(from http://integrothemes.com/arlo2/index.html)
19:09:19	1466/1466	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:10:37%20GMT	http://integrothemes.com/arlo2/img/svg/graduation-hat.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/graduation-hat.svg	(from http://integrothemes.com/arlo2/index.html)
19:09:20	1042/1042	---M--	200	added ('OK')	image/svg+xml	date:Fri,%2003%20Jan%202020%2019:10:50%20GMT	http://integrothemes.com/arlo2/img/svg/message.svg	C:/Users/Xoai/Desktop/cv/Cv%20Templete/integrothemes.com/arlo2/img/svg/message.svg	(from http://integrothemes.com/arlo2/index.html)
